date,source,mean_sst,site
2000-08-01,ESACCI,21.8094670932152,OL
2000-08-01,METOFFICE,NA,OL
2000-08-02,ESACCI,22.1236776125078,OL
2000-08-02,METOFFICE,NA,OL
2000-08-03,ESACCI,22.1128881390648,OL
2000-08-03,METOFFICE,NA,OL
2000-08-04,ESACCI,22.1536776118373,OL
2000-08-04,METOFFICE,NA,OL
2000-08-05,ESACCI,22.0639407717378,OL
2000-08-05,METOFFICE,NA,OL
2000-08-06,ESACCI,22.0157828780773,OL
2000-08-06,METOFFICE,NA,OL
2000-08-07,ESACCI,22.6473618113289,OL
2000-08-07,METOFFICE,NA,OL
2000-08-08,ESACCI,22.6813091789912,OL
2000-08-08,METOFFICE,NA,OL
2000-08-09,ESACCI,22.7326249673179,OL
2000-08-09,METOFFICE,NA,OL
2000-08-10,ESACCI,23.5731512643201,OL
2000-08-10,METOFFICE,NA,OL
2000-08-11,ESACCI,23.7318354712996,OL
2000-08-11,METOFFICE,NA,OL
2000-08-12,ESACCI,23.7573617865185,OL
2000-08-12,METOFFICE,NA,OL
2000-08-13,ESACCI,23.6099933687598,OL
2000-08-13,METOFFICE,NA,OL
2000-08-14,ESACCI,23.6431512627555,OL
2000-08-14,METOFFICE,NA,OL
2000-08-15,ESACCI,23.5826249483189,OL
2000-08-15,METOFFICE,NA,OL
2000-08-16,ESACCI,23.6770986304177,OL
2000-08-16,METOFFICE,NA,OL
2000-08-17,ESACCI,24.093414410586,OL
2000-08-17,METOFFICE,NA,OL
2000-08-18,ESACCI,23.9397302034948,OL
2000-08-18,METOFFICE,NA,OL
2000-08-19,ESACCI,23.7992038908464,OL
2000-08-19,METOFFICE,NA,OL
2000-08-20,ESACCI,23.4223617940063,OL
2000-08-20,METOFFICE,NA,OL
2000-08-21,ESACCI,23.3099933754653,OL
2000-08-21,METOFFICE,NA,OL
2000-08-22,ESACCI,23.0976249591595,OL
2000-08-22,METOFFICE,NA,OL
2000-08-23,ESACCI,23.4115723205633,OL
2000-08-23,METOFFICE,NA,OL
2000-08-24,ESACCI,23.7457828394088,OL
2000-08-24,METOFFICE,NA,OL
2000-08-25,ESACCI,23.7560459970742,OL
2000-08-25,METOFFICE,NA,OL
2000-08-26,ESACCI,23.6505196836434,OL
2000-08-26,METOFFICE,NA,OL
2000-08-27,ESACCI,23.5405196861021,OL
2000-08-27,METOFFICE,NA,OL
2000-08-28,ESACCI,23.4731512665552,OL
2000-08-28,METOFFICE,NA,OL
2000-08-29,ESACCI,23.1813091678153,OL
2000-08-29,METOFFICE,NA,OL
2000-08-30,ESACCI,23.1284144321555,OL
2000-08-30,METOFFICE,NA,OL
2000-08-31,ESACCI,23.0678881177189,OL
2000-08-31,METOFFICE,NA,OL
2000-09-01,ESACCI,23.00788811906,OL
2000-09-01,METOFFICE,NA,OL
2000-09-02,ESACCI,22.9073618055174,OL
2000-09-02,METOFFICE,NA,OL
2000-09-03,ESACCI,22.8742039115218,OL
2000-09-03,METOFFICE,NA,OL
2000-09-04,ESACCI,22.8894670690753,OL
2000-09-04,METOFFICE,NA,OL
2000-09-05,ESACCI,22.9331512786252,OL
2000-09-05,METOFFICE,NA,OL
2000-09-06,ESACCI,22.9144670685165,OL
2000-09-06,METOFFICE,NA,OL
2000-09-07,ESACCI,22.9052565424066,OL
2000-09-07,METOFFICE,NA,OL
2000-09-08,ESACCI,23.1294670637109,OL
2000-09-08,METOFFICE,NA,OL
2000-09-09,ESACCI,23.1607828524846,OL
2000-09-09,METOFFICE,NA,OL
2000-09-10,ESACCI,23.2310460088088,OL
2000-09-10,METOFFICE,NA,OL
2000-09-11,ESACCI,23.9218354670527,OL
2000-09-11,METOFFICE,NA,OL
2000-09-12,ESACCI,24.2181512499032,OL
2000-09-12,METOFFICE,NA,OL
2000-09-13,ESACCI,24.1865723032407,OL
2000-09-13,METOFFICE,NA,OL
2000-09-14,ESACCI,23.7957828382912,OL
2000-09-14,METOFFICE,NA,OL
2000-09-15,ESACCI,23.5076249499953,OL
2000-09-15,METOFFICE,NA,OL
2000-09-16,ESACCI,23.2665723238043,OL
2000-09-16,METOFFICE,NA,OL
2000-09-17,ESACCI,23.7378881027432,OL
2000-09-17,METOFFICE,NA,OL
2000-09-18,ESACCI,23.7776249439603,OL
2000-09-18,METOFFICE,NA,OL
2000-09-19,ESACCI,23.7702565230724,OL
2000-09-19,METOFFICE,NA,OL
2000-09-20,ESACCI,23.8310459953978,OL
2000-09-20,METOFFICE,NA,OL
2000-09-21,ESACCI,23.7752565229606,OL
2000-09-21,METOFFICE,NA,OL
2000-09-22,ESACCI,23.5820986325411,OL
2000-09-22,METOFFICE,NA,OL
2000-09-23,ESACCI,23.4594670563348,OL
2000-09-23,METOFFICE,NA,OL
2000-09-24,ESACCI,22.9742039092866,OL
2000-09-24,METOFFICE,NA,OL
2000-09-25,ESACCI,22.8405197017483,OL
2000-09-25,METOFFICE,NA,OL
2000-09-26,ESACCI,22.7684144402021,OL
2000-09-26,METOFFICE,NA,OL
2000-09-27,ESACCI,22.4444670790218,OL
2000-09-27,METOFFICE,NA,OL
2000-09-28,ESACCI,22.4773618151287,OL
2000-09-28,METOFFICE,NA,OL
2000-09-29,ESACCI,22.5581512870071,OL
2000-09-29,METOFFICE,NA,OL
2000-09-30,ESACCI,22.616309180444,OL
2000-09-30,METOFFICE,NA,OL
2000-10-01,ESACCI,22.6594670742162,OL
